Concurso,Data do Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Ganhadores 6 acertos,Cidade / UF,Rateio 6 acertos,Ganhadores 5 acertos,Cidade/UF 5 acertos,Rateio 5 acertos,Ganhadores 4 acertos,Cidade/UF 4 acertos,Rateio 4 acertos,Acumulado 6 acertos,Arrecadação Total,Estimativa prêmio,Acumulado Sorteio Especial Mega da Virada,Observação
166,08/05/1999,12,13,22,57,59,60,0,,0.0,47,,17424.67,3371,,242.95,,0.0,0.0,,A MEGA   A C U M U L O U   ! ! !
167,15/05/1999,01,11,28,33,38,48,1,,2100980.21,82,,11364.11,4997,,186.48,,0.0,0.0,,Ganhador da SENA do Estado do Rio de Janeiro.
168,22/05/1999,02,09,31,35,45,50,0,,0.0,48,,15743.7,3528,,214.2,,0.0,0.0,,MEGASENA - O prêmio está ACUMULADO
169,29/05/1999,01,13,21,37,51,52,0,,0.0,65,,13679.08,4489,,198.07,,0.0,0.0,,
170,05/06/1999,07,41,46,51,55,58,0,,0.0,50,,32383.95,6257,,258.78,,0.0,0.0,,"A  MEGA-SENA  CONTINUA    ""A C U M U L A D A"" podendo passar de 16 MILHÕES DE REAIS"
171,12/06/1999,04,27,40,43,46,54,1,,16052410.83,134,,14983.3,10378,,193.46,,0.0,0.0,,"UM GANHADOR DA MEGA-SENA, no Estado do Rio de Janeiro - Capital"
172,19/06/1999,10,14,26,35,36,49,0,,0.0,64,,13460.12,4592,,186.89,,0.0,0.0,,
173,26/06/1999,17,28,29,42,49,50,1,,2148316.42,40,,23220.41,3610,,256.32,,0.0,0.0,,O Ganhador da SENA é do Distrito Federal.
174,03/07/1999,11,22,23,36,52,59,0,,0.0,44,,17846.85,3217,,243.18,,0.0,0.0,,"A MEGA-SENA  ( A C U M U L O U ) - R$ 942.313,58"
175,10/07/1999,01,10,13,20,42,50,0,,0.0,114,,8094.08,7058,,130.25,,0.0,0.0,,"A SENA está ACUMULADA  em  R$ 2.049.582,99."
176,17/07/1999,01,03,04,28,45,53,0,,0.0,62,,16696.39,5405,,190.8,,0.0,0.0,,
177,24/07/1999,22,35,38,39,41,59,0,,0.0,52,,21716.29,4408,,255.21,,0.0,0.0,,"A SENA ESTÁ ACUMULADA, E O PRÊMIO ESTIMADO É DE R$ 6.500.000,00!"
178,31/07/1999,05,15,19,26,27,33,1,,6129539.43,198,,6240.11,13086,,94.07,,0.0,0.0,,Ganhador do Estado de São Paulo
179,07/08/1999,05,06,23,26,27,53,0,,0.0,78,,10281.59,5646,,141.51,,0.0,0.0,,Não Houve Ganhador da Sena. MEGASENA  ACUMULADA.
180,14/08/1999,06,23,29,39,51,60,0,,0.0,111,,15907.98,6978,,252.09,,0.0,0.0,,A MEGA SENA Acumulou - prêmio previsto superior a 14 Milhões.
181,21/08/1999,01,27,33,35,51,55,0,,0.0,182,,11127.07,11797,,171.02,,0.0,0.0,,Estimativa de prêmio para a sena do próximo concurso: R$ 18 milhões.
182,28/08/1999,03,05,10,28,46,60,0,,0.0,239,,9954.78,17413,,136.13,,0.0,0.0,,A  MEGASENA continua Acumulada
183,04/09/1999,02,07,11,16,40,44,0,,0.0,306,,9468.79,20677,,139.6,,0.0,0.0,,A MEGASENA Acumulou!!! Prêmio previsto  acima  de R$ 25 Milhões.
184,11/09/1999,09,16,21,34,41,60,0,,0.0,217,,14699.97,15462,,205.53,,0.0,0.0,,"A MEGA-SENA ACUMULOU NOVAMENTE!!!. A PREVISÃO DE PREMIAÇÃO DO CONC. 185 É DE R$ 30.000.000,00"
185,18/09/1999,17,22,43,46,55,59,0,,0.0,366,,12275.86,24849,,180.13,,0.0,0.0,,"A MEGA-SENA ACUMULOU!!! A ESTIMATIVA DE PRÊMIO É DE R$ 37.000.000,00."
186,25/09/1999,14,23,24,25,26,51,0,,0.0,352,,17072.24,31164,,192.1,,0.0,0.0,,Megasena Acumulada. Previsao de premio para o conc.187 e de R$46 Milhoes
187,02/10/1999,06,36,41,44,48,58,0,,0.0,397,,23058.35,39365,,231.66,,0.0,0.0,,"Sorteio Conc. 188 será domingo, 10/10, às 20:30 h. em Salvador/BA. Vendas até às 16 h. do domingo."
188,10/10/1999,17,27,34,42,43,46,1,,64905517.65,1200,,11517.11,90235,,152.58,,0.0,0.0,,"Ganhador da MEGASENA é do Estado da  BAHIA, Prêmio para o próximo concurso 1 MILHÃO."
189,16/10/1999,04,15,31,38,41,53,0,,0.0,61,,23476.18,5485,,260.09,,0.0,0.0,,"A MEGA-SENA ACUMULOU. PREVISÃO DE PRÊMIO PARA SENA CONC.190 É DE R$ 45.000.000,00."
190,24/10/1999,05,10,21,32,40,42,0,,0.0,304,,14923.96,21481,,210.41,,0.0,0.0,,A MEGASENA Acumulou!!!! prêmio previsto para o próximo concurso é de R$ 53 Milhões.
191,31/10/1999,01,03,05,23,41,58,1,,50968412.58,383,,13212.41,30477,,165.41,,0.0,0.0,,"MEGA-SENA  tem 01 Ganhador de MATO GROSSO DO SUL, Campo Grande"
192,06/11/1999,01,26,28,41,54,60,0,,0.0,53,,23005.08,4403,,275.87,,0.0,0.0,,A MEGASENA Acumulou!!! Estimativa de prêmio para o próximo concurso acima de 3 Milhões.
193,13/11/1999,04,11,12,19,43,49,0,,0.0,190,,7199.87,11415,,119.39,,0.0,0.0,,"Previsão prêmio próximo concurso R$5.300.000,00."
194,20/11/1999,25,28,32,33,42,43,0,,0.0,106,,12862.4,7456,,182.18,,0.0,0.0,,"Previsão prêmio próximo concurso R$6.700.000,00."
195,27/11/1999,03,09,17,32,37,44,1,,6370250.64,339,,4005.56,13819,,97.89,,0.0,0.0,,"Previsão prêmio próximo concurso R$1.000.000,00."
196,04/12/1999,07,09,14,17,24,32,0,,0.0,182,,5309.16,10493,,91.75,,0.0,0.0,,"Previsão prêmio próximo concurso R$2.490.000,00."
